RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Ronny Turiaf,MIN,31,19.5,.578,13.1,13.6,10.2,9.6,22.0,15.6,13.84,29.3,1.0
Seth Curry,CLE/MEM,2,6.5,.500,0.0,0.0,13.4,0.0,8.9,4.4,13.82,0.0,0.0
Josh McRoberts,CHA,78,30.3,.548,32.7,8.1,13.7,4.0,13.8,8.9,13.82,81.6,2.7
Courtney Lee,BOS/MEM,79,25.0,.574,13.5,8.6,18.2,1.7,9.5,5.5,13.80,97.2,3.2
Shawn Marion,DAL,76,31.7,.537,13.0,9.9,14.6,6.4,17.4,11.9,13.78,117.9,3.9
Greg Smith,HOU,11,9.1,.629,0.0,14.2,13.7,13.0,16.8,15.0,13.74,3.3,0.1
Andre Iguodala,GS,63,32.4,.570,29.9,11.4,13.5,2.9,12.6,7.8,13.71,97.7,3.3
Victor Oladipo,ORL,80,31.1,.514,19.7,15.4,23.3,1.9,13.1,7.5,13.64,116.5,3.9
Will Barton,POR,41,9.4,.488,14.9,8.1,20.3,4.5,16.0,10.3,13.60,17.9,0.6
Jimmy Butler,CHI,67,38.7,.522,15.6,9.1,16.1,3.9,10.5,7.2,13.57,118.7,4.0
Kyle Korver,ATL,71,33.9,.653,21.7,10.6,13.6,1.1,12.4,6.8,13.55,109.8,3.7
Roy Hibbert,IND,81,29.7,.499,8.2,13.3,17.7,9.9,15.0,12.5,13.54,105.7,3.5
Brian Roberts,NO,72,23.2,.529,24.2,9.8,19.9,1.2,8.4,4.7,13.49,61.9,2.1
Josh Harrellson,DET,32,9.9,.547,13.6,9.1,12.5,9.8,16.7,13.1,13.46,9.3,0.3
Jeremy Lamb,OKC,78,19.7,.522,14.1,7.5,18.8,2.1,11.3,6.9,13.44,67.4,2.2
Luis Scola,IND,82,17.1,.505,10.0,13.4,21.9,7.2,23.4,15.7,13.42,40.2,1.3
Jonas Jerebko,DET,64,11.6,.577,12.3,13.6,15.5,7.2,19.3,12.9,13.42,21.2,0.7
George Hill,IND,76,32.0,.563,25.2,8.8,14.6,2.6,10.1,6.5,13.42,87.7,2.9
Carrick Felix,CLE,7,5.4,.603,16.8,16.8,22.4,2.9,15.1,8.9,13.39,1.6,0.1
Kevin Garnett,BKN,54,20.5,.467,15.5,13.1,17.5,6.5,32.1,19.3,13.35,45.5,1.5
Bismack Biyombo,CHA,77,13.9,.606,3.5,17.3,8.6,11.0,27.6,19.3,13.33,43.6,1.5
Randy Foye,DEN,81,30.7,.558,20.7,10.4,18.4,1.6,8.5,5.0,13.31,104.3,3.5
P.J. Tucker,PHX,81,30.7,.540,14.9,10.8,13.4,7.3,16.6,11.9,13.31,104.5,3.5
Jarvis Varnado,CHI/PHI,24,14.1,.597,12.3,9.4,0.0,5.8,14.6,10.0,13.30,9.1,0.3
Shelvin Mack,ATL,73,20.4,.510,30.3,10.0,19.0,1.6,10.7,6.2,13.28,50.7,1.7
Channing Frye,PHX,82,28.2,.555,9.7,8.8,16.0,3.6,16.6,10.1,13.26,60.6,2.0
Shabazz Muhammad,MIN,37,7.8,.505,3.7,9.8,21.2,8.8,11.2,10.0,13.20,11.7,0.4
Al-Farouq Aminu,NO,80,25.6,.516,15.1,11.6,13.6,7.2,21.2,14.1,13.19,82.2,2.7
Jeff Green,BOS,82,34.2,.520,8.5,10.1,22.0,2.1,13.6,7.7,13.17,111.7,3.7
Glen Davis,LAC/ORL,68,24.4,.491,9.6,9.4,14.0,7.4,16.4,11.9,13.14,40.6,1.4
Gerald Henderson,CHA,77,32.0,.507,14.4,8.2,20.6,1.4,12.9,7.1,13.13,96.6,3.2
Cody Zeller,CHA,82,17.3,.498,13.7,13.0,17.5,9.4,18.8,14.1,13.12,53.3,1.8
Nando de Colo,SA/TOR,47,10.5,.526,24.2,13.0,17.7,3.3,13.3,8.4,13.11,15.6,0.5
Jeremy Tyler,NY,41,9.7,.532,4.7,15.2,17.3,10.9,21.6,16.1,13.09,9.4,0.3
C.J. Watson,IND,63,18.9,.555,19.8,11.1,15.9,1.9,7.4,4.8,13.08,37.0,1.2
Dexter Pittman,ATL,2,1.5,.000,0.0,0.0,24.9,116.6,0.0,57.9,13.08,0.1,0.0
Pablo Prigioni,NY,66,19.4,.642,47.1,12.4,10.8,3.2,8.8,5.9,13.02,38.7,1.3
Casper Ware,PHI,9,12.9,.538,16.8,8.4,17.3,0.0,8.7,4.2,13.01,3.5,0.1
Tony Wroten,PHI,72,24.5,.493,15.8,14.9,26.4,4.1,10.1,7.0,12.96,64.9,2.2
Rudy Gobert,UTAH,45,9.6,.507,4.9,22.6,13.0,13.1,28.5,20.6,12.96,15.3,0.5
Gustavo Ayon,ATL,26,16.5,.505,16.7,17.3,13.8,11.4,22.3,16.9,12.93,9.2,0.3
Omri Casspi,HOU,71,18.1,.528,14.1,11.5,17.2,5.1,16.8,11.3,12.91,46.2,1.5
Raymond Felton,NY,65,31.0,.476,31.6,11.2,18.8,3.1,8.6,5.7,12.90,57.2,1.9
